user_id,posts_per_week,likes_per_week,comments_per_week,shares_per_week,followers,following,avg_session_minutes,active_days_per_week,night_activity_ratio,video_watch_minutes,purchase_clicks_per_week
U100060,2,208,58,29,530,702,42.0,1,0.367,126.0,3
U100061,1,164,45,42,903,666,74.5,3,0.629,569.6,8
U100062,3,335,62,73,2596,679,90.2,4,0.412,652.5,11
U100063,2,247,49,42,769,836,89.2,5,0.167,610.5,11
U100064,2,288,66,39,1021,980,80.5,6,0.402,425.0,8
U100065,5,387,83,44,476,1049,84.8,6,0.239,583.6,11
U100066,2,185,20,35,1029,424,74.3,3,0.738,255.3,7
U100067,4,385,74,75,2666,806,51.7,3,0.513,437.6,10
U100068,6,458,96,69,2334,1058,89.8,6,0.145,869.6,6
U100069,4,260,81,46,986,829,84.1,3,0.42,494.1,7
U100070,3,324,78,63,1449,808,58.4,2,0.586,174.0,5
U100071,2,292,62,35,1975,807,54.1,2,0.613,446.2,4
U100072,5,250,60,27,899,514,37.9,2,0.772,193.1,5
U100073,5,448,89,49,4449,1003,69.7,6,0.228,192.1,8
U100074,2,217,60,20,1126,792,38.9,4,0.233,296.4,8
U100075,3,252,73,69,1341,793,77.0,6,0.734,472.5,3
U100076,0,107,47,32,1735,517,63.7,3,0.445,525.7,18
U100077,5,520,117,68,2077,996,86.2,5,0.871,588.5,11
U100078,5,329,110,72,1871,869,71.0,5,0.419,489.5,13
U100079,3,289,76,37,3203,439,58.1,3,0.197,313.5,6
U100080,6,412,129,66,1539,1044,71.6,5,0.494,369.2,10
U100081,3,129,19,37,642,366,62.4,3,0.275,578.1,2
U100082,3,198,46,41,2534,343,79.9,3,0.528,318.2,5
U100083,1,211,73,56,1800,819,62.3,4,0.356,337.8,3
U100084,0,157,50,24,622,571,59.2,2,0.444,333.6,4
U100085,9,569,108,51,723,1058,64.2,4,0.633,465.8,3
U100086,1,149,35,21,263,369,41.4,3,0.602,414.8,4
U100087,4,464,64,58,4449,597,93.7,4,0.501,777.2,13
U100088,10,604,150,86,3304,1123,113.6,5,0.785,607.2,12
U100089,0,230,35,57,1694,1210,89.4,5,0.814,882.3,9
U100090,4,412,68,49,3603,768,95.9,5,0.572,684.8,13
U100091,6,381,54,56,486,710,43.3,3,0.316,162.7,6
U100092,8,499,96,50,1214,715,34.5,3,0.399,123.0,2
U100093,2,180,60,22,482,110,54.2,3,0.262,308.1,12
U100094,1,203,37,41,535,529,41.8,2,0.583,178.8,6
U100095,7,537,98,49,810,707,28.0,2,0.33,340.7,6
U100096,0,61,20,17,308,242,37.3,1,0.271,497.4,2
U100097,0,96,21,11,1051,350,46.9,2,0.408,657.1,7
U100098,2,187,46,39,596,528,78.5,5,0.418,449.9,17
U100099,1,110,33,53,1971,358,48.3,2,0.231,331.1,3
U100100,4,341,57,59,2808,637,53.9,4,0.387,183.0,5
U100101,7,267,74,51,1162,545,77.6,6,0.093,508.8,5
U100102,7,426,112,83,1503,749,69.4,3,0.407,396.8,3
U100103,6,462,116,73,2347,1167,87.3,5,0.359,563.8,10
U100104,4,318,78,62,1293,362,77.7,2,0.758,671.4,12
U100105,3,237,39,38,1954,139,76.5,4,0.414,668.8,7
U100106,1,163,32,25,4449,531,55.4,3,0.436,620.4,5
U100107,3,458,89,61,2568,882,62.4,4,0.752,371.5,13
U100108,4,201,35,29,338,423,71.0,5,0.439,450.4,8
U100109,1,143,21,25,614,356,53.1,1,0.362,316.9,4
U100110,4,181,55,22,827,626,72.5,5,0.442,355.2,8
U100111,8,541,99,81,4369,879,91.7,4,0.481,572.1,11
U100112,4,293,62,46,448,555,52.4,3,0.495,367.2,6
U100113,5,326,89,60,585,430,46.7,2,0.336,212.0,5
U100114,7,494,94,74,3006,830,70.2,4,0.22,690.2,11
U100115,3,366,90,36,1084,694,63.1,4,0.3,396.0,9
U100116,1,124,37,34,458,887,95.2,5,0.611,188.8,4
U100117,5,368,71,100,1251,799,69.3,4,0.727,488.4,6
U100118,5,384,97,64,1725,826,128.037,6,0.574,761.4,8
U100119,2,339,57,41,571,974,84.1,2,0.859,688.9,6
U100120,2,162,19,26,736,474,43.4,2,0.648,323.8,14
U100121,5,388,75,61,986,664,80.4,4,0.726,796.9,13
U100122,6,324,92,25,764,827,108.5,5,0.493,755.1,11
U100123,2,170,51,14,2147,579,92.2,6,0.479,361.7,9
U100124,3,461,101,73,4244,810,65.7,5,0.305,285.6,7
U100125,6,496,93,62,2412,978,95.8,5,0.726,773.6,4
U100126,8,508,110,58,1772,983,110.9,6,0.601,702.4,10
U100127,2,150,51,45,1545,460,60.0,2,0.667,515.3,13
U100128,3,229,69,50,1786,631,80.1,4,0.442,674.2,9
U100129,2,306,71,42,2847,619,86.0,3,0.698,610.2,3
U100130,4,223,37,41,965,338,54.5,3,0.48,482.8,4
U100131,0,104,32,35,1960,333,52.5,2,0.62,185.4,6
U100132,7,454,123,61,2378,1017,109.0,6,0.979,675.8,14
U100133,1,241,52,63,1717,782,65.0,4,0.14,632.4,4
U100134,4,266,58,39,940,552,55.4,1,0.435,352.4,5
U100135,4,358,91,56,2074,719,29.6,3,0.245,303.6,6
U100136,5,465,112,44,2361,638,52.3,5,0.64,545.4,6
U100137,4,454,71,41,416,981,82.8,6,0.734,166.4,0
U100138,6,656,108,84,4381,1386,100.6,7,0.644,656.4,5
U100139,7,544,104,82,2678,1113,80.6,7,0.175,481.9,12
U100140,7,369,80,55,1002,814,54.2,6,0.089,422.7,13
U100141,3,291,62,52,2176,625,62.9,2,0.485,148.8,4
U100142,1,181,51,31,681,614,31.9,1,0.125,130.9,10
U100143,8,413,103,54,1239,827,73.7,3,0.605,392.5,4
U100144,1,200,28,3,1472,529,95.0,2,0.949,505.5,7
U100145,2,253,85,69,1445,885,88.4,3,0.504,770.3,15
U100146,5,338,88,46,1263,684,80.5,3,0.134,725.6,6
U100147,4,311,35,49,1481,716,67.9,3,0.744,610.0,5
U100148,3,317,98,49,4449,1133,71.4,6,0.311,511.1,2
U100149,2,237,43,61,1480,817,98.2,5,0.567,801.6,13
U100150,2,279,44,38,2595,490,81.7,3,0.417,523.0,9
U100151,3,354,68,47,1404,879,53.8,2,0.519,81.9,4
U100152,0,7,12,19,587,167,26.9,2,0.594,249.2,4
U100153,3,209,72,37,450,473,59.9,4,0.65,250.0,2
U100154,5,444,105,68,3583,1003,89.7,5,0.624,654.8,18
U100155,6,383,102,70,1086,839,118.1,6,0.337,752.0,18
U100156,1,111,64,17,527,561,69.0,4,0.285,435.8,8
U100157,4,303,81,73,2901,1139,66.8,6,0.422,120.0,6
U100158,3,305,57,37,1608,513,64.4,3,0.32,465.2,0
U100159,6,309,84,59,516,293,29.5,2,0.292,285.3,4
U100160,1,157,24,37,935,483,34.6,3,0.57,250.7,2
U100161,4,307,110,61,1394,669,63.7,2,0.521,676.3,6
U100162,5,351,54,53,1753,878,104.4,7,0.424,627.9,7
U100163,6,535,96,69,3232,642,51.9,3,1.0,374.9,7
U100164,8,409,100,64,826,864,71.2,5,0.588,440.0,10
U100165,2,297,49,36,197,498,53.2,2,0.542,530.8,14
U100166,6,354,71,35,768,1013,110.3,6,0.458,476.85,3
U100167,6,497,97,77,2936,1108,65.8,4,0.685,402.6,0
U100168,3,340,96,18,238,923,75.7,5,0.771,478.9,14
U100169,9,563,108,56,1451,880,62.7,4,0.438,485.0,12
U100170,7,406,85,34,795,301,68.0,2,0.514,412.1,15
U100171,8,555,128,78,2235,893,58.7,4,0.174,230.7,0
U100172,4,414,68,68,4449,634,72.2,3,0.637,562.7,4
U100173,2,115,36,26,645,484,33.7,2,0.463,145.3,3
U100174,2,238,43,49,914,425,62.9,2,0.847,398.6,6
U100175,7,425,87,55,2328,593,31.5,5,0.374,302.0,3
U100176,6,461,91,66,1282,982,82.6,6,0.29,561.0,8
U100177,3,413,76,40,656,920,82.7,5,0.743,505.3,7
U100178,6,311,99,63,2519,744,78.6,4,0.363,518.0,4
U100179,3,417,88,93,3523,1033,81.8,3,0.159,277.5,7
U100180,4,432,90,83,1991,1311,98.1,6,0.576,744.7,13
U100181,3,153,31,29,899,289,74.3,6,0.377,397.0,11
U100182,4,270,58,47,983,669,61.6,4,0.345,268.5,3
U100183,1,269,29,64,2885,843,118.8,5,0.862,809.4,14
U100184,7,335,75,42,1438,584,70.7,4,0.776,328.2,7
U100185,10,656,150,76,4449,995,78.1,6,0.242,594.6,3
U100186,2,294,75,60,1280,973,83.7,4,0.398,609.2,9
U100187,5,397,81,1,3234,434,70.7,2,0.249,349.4,8
U100188,3,246,44,57,1138,635,62.1,2,0.92,341.0,10
U100189,4,334,60,53,1194,844,113.3,6,0.283,674.1,7
U100190,6,367,92,44,1307,868,104.6,7,0.512,288.0,7
U100191,4,446,94,77,2117,1162,87.4,5,0.595,517.8,6
U100192,2,234,17,34,1131,627,44.8,3,0.206,314.5,7
U100193,9,590,137,76,2117,735,94.2,6,0.807,579.5,9
U100194,1,45,23,9,505,197,59.9,2,0.328,381.1,5
U100195,5,407,69,40,2128,1028,63.2,3,0.378,611.5,8
U100196,6,564,99,74,3844,996,82.4,5,0.247,400.7,16
U100197,1,148,30,44,948,603,63.7,4,0.587,623.2,7
U100198,0,220,41,43,404,867,82.0,3,0.473,497.0,6
U100199,5,240,40,28,1699,500,55.7,4,0.58,281.9,11
U100200,3,412,88,48,2040,1013,73.9,4,0.255,490.7,15
U100201,4,327,102,79,2282,1088,87.3,6,0.12,477.9,7
U100202,3,247,64,37,2225,869,48.1,4,0.343,381.7,4
U100203,3,252,30,41,1926,835,85.4,6,0.428,777.6,6
U100204,1,112,29,28,1611,465,39.4,2,0.81,323.5,8
U100205,1,256,55,42,732,868,39.2,4,0.099,272.7,3
U100206,4,295,53,29,574,706,30.0,2,0.266,117.9,13
U100207,3,224,69,37,811,755,67.1,2,0.538,543.0,3
U100208,5,332,84,37,1725,686,57.9,3,0.644,306.4,8
U100209,3,258,59,43,1715,885,77.5,3,0.689,555.5,5
U100210,4,345,49,47,1170,914,84.3,6,0.344,675.1,5
U100211,6,525,80,47,2438,1126,36.0,2,0.48,154.0,6
U100212,0,95,9,6,1230,407,41.6,4,0.324,183.3,10
U100213,1,290,60,63,1875,864,75.0,3,0.281,682.7,14
U100214,0,310,49,55,830,903,84.6,3,0.517,543.7,8
U100215,8,426,88,15,1194,723,88.3,5,0.549,460.5,7
U100216,8,552,139,82,2987,921,75.8,5,0.499,253.6,8
U100217,7,535,124,96,1580,1313,102.2,6,0.525,502.4,7
U100218,4,305,87,37,803,773,70.5,3,0.735,411.1,11
U100219,7,392,101,77,1257,626,63.6,3,0.617,617.2,10
U100220,0,119,25,32,729,480,75.6,3,0.869,359.7,7
U100221,4,263,54,42,480,822,104.0,4,0.721,889.2,4
U100222,10,633,127,62,4065,760,64.7,4,0.323,370.7,12
U100223,3,384,68,66,2014,666,45.9,2,0.231,205.9,14
U100224,2,295,30,52,625,819,63.0,4,0.5,285.5,8
U100225,3,267,43,56,740,525,34.4,4,0.354,127.4,8
U100226,5,499,120,100,3157,1180,114.9,7,0.598,803.5,14
U100227,6,506,122,83,3416,1223,86.9,7,0.37,577.9,8
U100228,1,103,58,70,531,797,70.4,3,0.489,445.2,9
U100229,3,325,74,67,941,731,28.4,4,0.196,220.4,6
U100230,2,85,60,36,1118,300,45.3,2,0.186,535.8,8
U100231,5,183,47,10,1404,457,78.8,3,0.66,705.1,9
U100232,0,135,15,22,1616,698,99.6,5,0.363,668.8,9
U100233,4,238,64,25,1378,834,79.6,6,0.169,456.9,12
U100234,0,148,37,46,1311,512,68.3,3,0.57,625.0,6
U100235,7,464,79,69,1205,553,52.8,3,0.279,244.3,4
U100236,2,211,42,24,2376,449,50.7,1,0.875,447.2,1
U100237,2,101,18,10,317,565,67.5,4,0.582,344.9,4
U100238,1,190,12,30,1473,220,71.0,2,0.136,114.1,5
U100239,0,277,40,44,439,762,52.3,2,0.626,269.7,4
U100240,3,261,51,46,2133,492,70.6,3,0.493,331.7,6
U100241,8,422,111,40,415,724,58.3,4,0.413,267.8,12
U100242,3,183,57,15,2637,154,52.7,1,0.507,415.7,1
U100243,3,242,70,41,616,776,28.6,2,0.948,140.2,8
U100244,3,424,72,67,4449,1268,73.8,7,0.514,476.85,12
U100245,3,239,78,52,2603,393,53.7,1,0.305,557.1,9
U100246,4,407,108,75,2260,1114,58.3,2,0.254,566.8,5
U100247,5,487,109,62,2338,1183,111.7,6,0.574,447.9,8
U100248,8,442,98,83,1963,1183,118.3,7,0.619,648.8,11
U100249,4,235,43,56,3256,602,42.9,2,0.302,468.8,6
U100250,1,143,24,32,494,639,84.2,4,0.699,483.9,7
U100251,0,195,50,22,456,874,60.9,5,0.186,454.0,7
U100252,3,360,67,83,4226,1121,90.6,6,0.322,787.0,14
U100253,0,96,48,48,393,452,47.1,2,0.497,302.3,4
U100254,2,286,52,47,1360,1020,83.8,4,0.687,428.4,7
U100255,5,307,67,50,1567,848,61.7,6,0.364,487.9,5
U100256,5,450,111,67,2162,1254,69.1,4,0.215,429.0,3
U100257,2,217,61,62,638,514,62.2,3,0.561,366.0,7
U100258,0,292,25,76,3592,896,73.0,2,0.379,532.2,3
U100259,6,369,58,45,1135,379,64.5,2,0.552,331.9,4
U100260,0,237,48,30,1040,871,44.5,4,0.207,239.8,3
U100261,5,324,85,17,799,363,90.5,5,0.741,541.9,7
U100262,3,223,78,43,1908,537,70.7,4,0.69,209.5,6
U100263,1,133,44,16,414,587,89.1,2,0.553,364.1,6
U100264,5,491,94,43,2171,1192,69.6,5,0.368,310.9,8
U100265,5,422,76,60,2405,828,85.7,6,0.332,575.8,10
U100266,3,154,55,30,335,379,54.9,4,0.66,176.0,17
U100267,1,206,51,36,3577,587,83.0,4,0.579,688.2,13
U100268,4,315,69,26,2461,697,65.2,4,0.319,349.1,4
U100269,1,190,23,31,639,428,88.5,4,0.54,811.3,9
U100270,2,234,39,40,885,612,52.9,3,0.419,245.8,5
U100271,0,332,57,83,3353,1162,74.7,4,0.513,353.7,6
U100272,3,206,81,42,451,823,68.2,3,0.468,666.9,13
U100273,7,389,72,55,2998,731,87.8,7,0.265,527.4,14
U100274,4,346,55,71,1829,926,118.0,6,0.269,769.7,7
U100275,4,405,66,49,4449,841,92.2,4,0.764,573.6,10
U100276,3,440,82,70,1403,792,59.8,3,0.303,490.6,9
U100277,7,332,44,9,959,235,59.9,2,0.657,394.1,8
U100278,4,286,77,12,1289,1065,86.5,5,0.523,627.4,9
U100279,7,461,126,47,1739,1229,54.0,5,0.617,500.1,6
U100280,4,472,108,69,3419,977,70.9,5,0.407,128.1,7
U100281,2,260,32,21,1745,299,24.3,1,0.481,287.9,9
U100282,2,310,74,59,1814,800,88.0,6,0.354,613.0,9
U100283,2,244,77,64,371,816,86.8,4,0.717,476.85,9
U100284,2,252,66,39,336,658,49.6,2,0.476,349.9,9
U100285,4,223,42,21,1701,344,97.9,3,0.18,617.5,3
U100286,2,321,55,34,1404,929,77.5,4,0.242,194.3,11
U100287,5,248,61,34,2332,714,72.0,4,0.32,203.9,7
U100288,2,250,59,56,1752,794,42.1,3,0.568,202.9,6
U100289,2,205,49,19,349,781,101.0,5,0.382,789.2,6
U100290,5,140,86,20,1404,447,66.9,4,0.251,529.2,7
U100291,2,301,50,48,4449,570,59.3,4,0.183,465.8,11
U100292,4,288,46,67,1606,747,67.8,6,0.077,325.7,4
U100293,0,51,8,4,610,5,39.3,1,0.149,219.6,1
U100294,5,332,78,62,1707,630,71.6,4,0.745,606.7,5
U100295,6,405,77,48,1076,612,61.8,5,0.14,448.1,1
U100296,2,284,67,49,1143,749,80.8,6,0.386,605.2,9
U100297,7,400,97,29,2978,477,82.0,3,0.874,857.5,10
U100298,2,264,37,28,1552,734,29.4,1,0.522,88.4,8
U100299,1,177,26,39,443,816,59.4,4,0.518,383.4,4
U100300,6,427,113,84,1455,1039,102.8,6,0.549,558.3,14
U100301,4,99,0,12,424,334,58.9,2,0.638,701.5,1
U100302,2,378,77,70,2035,1210,88.8,5,0.719,568.9,4
U100303,5,352,99,73,4449,902,48.3,4,0.28,391.2,3
U100304,1,292,67,60,1378,444,47.6,5,0.09,416.3,11
U100305,2,300,64,27,495,811,49.1,2,0.788,380.2,8
U100306,3,179,46,26,713,293,60.2,3,0.165,532.5,0
U100307,3,241,58,30,769,916,82.6,7,0.383,563.2,8
U100308,6,536,133,67,1054,1105,74.7,5,0.376,335.1,10
U100309,8,495,101,69,2071,1115,75.6,6,0.364,630.5,8
U100310,8,581,97,52,4449,847,97.8,6,0.778,481.6,9
U100311,0,169,56,60,1685,901,85.3,5,0.962,623.1,10
U100312,4,509,87,71,1624,1248,99.9,7,0.332,632.1,15
U100313,0,10,19,2,583,513,75.1,5,0.131,821.7,5
U100314,4,308,75,12,605,636,86.1,6,0.18,778.5,15
U100315,5,258,105,57,1257,683,62.8,4,0.521,559.8,17
U100316,4,288,67,33,1906,696,95.6,5,0.555,618.5,4
U100317,5,378,85,81,967,980,39.0,3,0.294,322.0,2
U100318,7,603,67,87,4449,992,78.9,7,0.214,448.6,6
U100319,2,112,15,5,864,314,62.9,2,0.479,523.8,5
U100320,4,299,71,68,309,762,87.2,6,0.637,445.8,3
U100321,6,213,58,46,504,439,45.1,3,0.682,237.6,1
U100322,5,346,90,29,642,1242,61.0,6,0.159,466.7,7
U100323,4,382,49,27,4449,999,82.4,5,0.694,675.1,1
U100324,5,420,55,62,2255,978,84.3,7,0.585,519.9,4
U100325,2,431,54,62,4449,961,119.8,6,0.586,715.8,13
U100326,1,258,78,39,842,653,80.6,2,0.541,480.6,4
U100327,0,175,20,39,1267,652,73.0,4,0.293,637.9,6
U100328,4,226,52,26,784,312,29.8,2,0.136,340.7,9
U100329,3,272,60,30,1817,675,64.3,3,0.114,313.6,12
U100330,3,366,78,62,1221,1256,67.9,6,0.171,372.7,15
U100331,0,275,48,37,820,762,83.6,6,0.721,522.9,8
U100332,5,367,112,66,4076,598,55.8,3,0.558,412.2,3
U100333,0,111,25,47,1109,339,44.9,2,0.666,1021.6,6
U100334,4,510,102,69,4449,967,66.1,5,0.658,348.2,7
U100335,1,179,44,8,372,201,36.5,3,0.665,305.1,1
U100336,3,490,61,48,4449,678,66.1,3,0.667,578.4,9
U100337,3,199,57,21,882,412,95.9,5,0.633,580.4,4
U100338,8,491,110,65,3119,780,85.1,6,0.503,650.8,5
U100339,4,438,107,104,4449,1031,98.9,5,0.766,681.9,11
U100340,1,104,25,13,460,252,16.5,1,0.531,180.5,5
U100341,4,347,80,63,3116,960,64.2,4,0.562,88.4,6
U100342,1,300,39,47,1631,924,54.3,4,0.648,287.5,10
U100343,2,256,45,11,509,980,105.6,4,0.803,645.9,12
U100344,5,413,92,96,1586,1236,90.6,7,0.827,406.1,3
U100345,3,239,50,49,1965,372,36.6,1,0.405,476.85,5
U100346,7,377,67,42,1252,328,67.7,3,0.866,686.3,11
U100347,2,282,53,0,2349,757,82.8,3,0.19,387.5,5
U100348,0,132,42,32,1892,600,54.1,2,0.766,300.2,15
U100349,1,159,49,59,2705,1242,90.1,6,0.534,412.5,7
U100350,4,274,36,51,1921,303,105.4,4,0.219,602.5,12
U100351,4,243,63,54,506,735,103.1,6,0.761,609.6,2
U100352,4,280,47,24,521,555,74.7,2,0.567,362.7,13
U100353,3,346,51,40,2301,826,89.9,5,0.351,749.2,8
U100354,5,415,90,71,4348,567,103.7,6,0.56,598.2,13
U100355,2,290,26,25,1031,507,47.7,4,0.079,410.0,8
U100356,0,238,58,69,3349,740,58.1,4,0.453,229.2,13
U100357,4,504,89,66,4257,851,90.0,6,0.521,702.1,9
U100358,1,293,67,63,1181,520,32.8,3,0.368,328.1,6
U100359,9,555,120,50,1837,783,50.0,4,0.4,178.5,3
U100360,3,254,64,48,1393,686,75.0,4,0.893,512.6,5
U100361,2,194,83,41,627,833,53.7,5,1.0,443.2,13
U100362,4,430,51,57,2335,664,100.5,6,0.392,959.5,13
U100363,3,187,38,37,589,338,48.1,3,0.412,374.2,8
U100364,2,240,28,28,1007,682,66.8,3,0.373,307.8,2
U100365,4,300,49,53,1416,700,84.4,6,0.512,393.6,12
U100366,1,160,17,29,496,208,52.0,3,0.138,56.4,11
U100367,4,200,93,72,1712,533,45.1,2,0.347,229.9,1
U100368,4,372,81,69,2697,919,74.9,5,0.34,649.9,3
U100369,8,422,114,47,2944,548,95.3,6,0.36,681.4,14
U100370,5,363,109,68,792,825,64.4,5,0.211,559.3,15
U100371,6,462,136,49,1398,1082,99.1,6,0.393,596.4,16
U100372,7,443,133,57,2719,1008,84.4,6,0.411,436.2,11
U100373,0,249,78,53,2274,972,82.2,5,0.515,405.5,8
U100374,2,248,43,15,1783,611,93.1,5,0.351,803.1,11
U100375,4,485,73,76,4449,894,108.9,7,0.58,745.6,7
U100376,8,563,106,76,4449,548,77.3,4,0.536,782.7,5
U100377,4,306,71,30,1743,462,57.6,1,0.356,596.0,11
U100378,7,294,77,53,1457,465,69.3,6,0.725,281.4,8
U100379,5,439,91,60,1252,699,73.6,2,0.79,319.8,6
U100380,3,401,74,85,2362,1008,74.4,6,0.484,419.2,3
U100381,5,382,67,44,1466,787,106.5,6,0.483,460.1,2
U100382,1,112,48,45,720,559,31.6,2,0.547,325.9,7
U100383,5,229,51,45,765,277,77.4,2,0.121,767.7,3
U100384,2,238,33,49,2008,296,41.1,2,0.289,161.0,7
U100385,4,228,44,37,782,262,53.1,2,0.417,434.4,7
U100386,1,14,16,0,646,317,73.5,4,0.682,569.8,11
U100387,6,465,120,53,621,1089,73.7,5,0.315,493.3,5
U100388,5,257,64,30,2511,585,73.4,5,0.485,487.1,3
U100389,1,217,46,12,1687,494,25.8,2,0.563,167.3,3
U100390,4,204,45,0,549,148,30.2,1,0.594,411.2,2
U100391,1,129,26,22,1834,448,85.8,4,0.144,589.5,4
U100392,1,271,43,31,3241,834,48.9,3,0.337,448.5,7
U100393,3,271,37,31,1418,493,81.7,5,0.496,553.4,7
U100394,2,331,71,59,528,1107,104.8,5,0.398,724.0,10
U100395,4,443,91,63,4449,1057,81.7,4,0.352,581.9,8
U100396,4,351,96,69,771,1045,98.0,6,0.541,615.4,8
U100397,5,352,66,44,948,795,71.7,3,0.284,360.4,6
U100398,8,555,106,90,1239,1272,65.1,5,0.47,539.2,4
U100399,1,202,20,22,680,376,48.2,2,0.169,256.5,6
U100400,1,185,64,31,1532,607,70.1,3,0.678,556.9,14
U100401,7,500,116,60,533,941,90.2,6,0.664,481.8,7
U100402,4,392,82,74,2920,1040,99.4,5,0.806,365.9,6
U100403,3,109,21,30,1402,306,55.2,4,0.927,259.9,2
U100404,2,238,45,29,604,916,54.7,5,0.906,322.1,4
U100405,5,427,86,68,1009,845,67.3,4,0.425,538.5,3
U100406,5,392,99,71,2278,814,64.3,4,0.472,242.4,4
U100407,4,270,95,58,604,770,99.0,5,0.458,332.5,7
U100408,0,122,7,32,1133,360,39.8,2,0.605,208.0,3
U100409,2,183,67,10,361,286,60.8,2,0.821,127.5,1
U100410,5,282,81,36,1147,376,71.2,2,0.621,431.6,12
U100411,3,140,27,27,969,300,63.6,1,0.453,477.1,9
U100412,0,133,32,30,803,722,68.1,2,0.837,297.7,5
U100413,5,395,91,36,731,959,79.8,6,0.638,310.8,8
U100414,0,141,29,42,888,612,73.3,4,0.695,567.5,6
U100415,4,300,57,49,663,870,69.8,5,0.526,322.4,2
U100416,2,399,89,47,2676,1216,92.0,5,0.813,442.2,14
U100417,5,402,72,53,4449,749,109.5,6,0.412,724.6,13
U100418,6,359,114,52,1728,723,92.3,5,0.249,630.1,13
U100419,4,317,60,45,1449,947,91.9,6,0.762,652.2,6
U100420,6,485,89,33,1483,1021,91.9,5,0.813,707.1,8
