user_id,posts_per_week,likes_per_week,comments_per_week,shares_per_week,followers,following,avg_session_minutes,active_days_per_week,night_activity_ratio,video_watch_minutes,purchase_clicks_per_week,cluster,cluster_name,pca_1,pca_2
U100080,6,412,129,66,1539,1044,71.6,5,0.494,369.2,10,1,Content Creator,2.3622670848941008,-0.976013857580608
U100081,3,129,19,37,642,366,62.4,3,0.275,578.1,2,2,Low-frequency Browser,-2.741967825500405,0.45807125226950185
U100082,3,198,46,41,2534,343,79.9,3,0.528,318.2,5,2,Low-frequency Browser,-1.6300332553777863,-0.15097220519878304
U100083,1,211,73,56,1800,819,62.3,4,0.356,337.8,3,3,Interactive User,-0.8949036154928907,-0.5859647312499591
U100084,0,157,50,24,622,571,59.2,2,0.444,333.6,4,2,Low-frequency Browser,-3.0398348868380496,0.0912229405725282
U100085,9,569,108,51,723,1058,64.2,4,0.633,465.8,3,1,Content Creator,2.11751540890646,-1.561585450585554
U100086,1,149,35,21,263,369,41.4,3,0.602,414.8,4,2,Low-frequency Browser,-3.466902140438825,0.32641439969078206
U100087,4,464,64,58,4449,597,93.7,4,0.501,777.2,13,1,Content Creator,1.9037977418300969,0.7679603027331512
U100088,10,604,150,86,3304,1123,113.6,5,0.785,607.2,12,1,Content Creator,5.625339341324392,-0.4131171601928205
U100089,0,230,35,57,1694,1210,89.4,5,0.814,882.3,9,0,Night Owl,0.5611496861280799,3.195643799833796
U100090,4,412,68,49,3603,768,95.9,5,0.572,684.8,13,1,Content Creator,1.8510639638700706,1.1571726731325276
U100091,6,381,54,56,486,710,43.3,3,0.316,162.7,6,3,Interactive User,-0.8260913534943229,-2.0703946344279567
U100092,8,499,96,50,1214,715,34.5,3,0.399,123.0,2,3,Interactive User,0.1084921765909782,-3.5161295475157592
U100093,2,180,60,22,482,110,54.2,3,0.262,308.1,12,2,Low-frequency Browser,-2.77299680800124,-0.07051095672606286
U100094,1,203,37,41,535,529,41.8,2,0.583,178.8,6,2,Low-frequency Browser,-3.0377621994124704,-0.6630968158398213
U100095,7,537,98,49,810,707,28.0,2,0.33,340.7,6,3,Interactive User,0.11998171419363997,-2.906742379352233
U100096,0,61,20,17,308,242,37.3,1,0.271,497.4,2,2,Low-frequency Browser,-4.82870949267342,0.050405334593178766
U100097,0,96,21,11,1051,350,46.9,2,0.408,657.1,7,2,Low-frequency Browser,-3.7437329119671423,1.1988158799380668
U100098,2,187,46,39,596,528,78.5,5,0.418,449.9,17,0,Night Owl,-0.8909394241732853,1.756182599402691
U100099,1,110,33,53,1971,358,48.3,2,0.231,331.1,3,2,Low-frequency Browser,-3.0404417155488637,-0.9310434403630051
U100100,4,341,57,59,2808,637,53.9,4,0.387,183.0,5,3,Interactive User,-0.45438662502984783,-1.8292476208728525
U100101,7,267,74,51,1162,545,77.6,6,0.093,508.8,5,3,Interactive User,0.49651562318229914,-0.40464823065981864
U100102,7,426,112,83,1503,749,69.4,3,0.407,396.8,3,3,Interactive User,1.4541457221674305,-2.0073175939719308
U100103,6,462,116,73,2347,1167,87.3,5,0.359,563.8,10,1,Content Creator,3.229981476993568,-0.4364048730193117
U100104,4,318,78,62,1293,362,77.7,2,0.758,671.4,12,0,Night Owl,-0.051984417239978715,0.8713990322226202
U100105,3,237,39,38,1954,139,76.5,4,0.414,668.8,7,0,Night Owl,-1.4087323902626157,0.9617215414003598
U100106,1,163,32,25,4449,531,55.4,3,0.436,620.4,5,2,Low-frequency Browser,-1.8833846007805883,0.1841050961652879
U100107,3,458,89,61,2568,882,62.4,4,0.752,371.5,13,3,Interactive User,1.2498536146641555,-0.4138413608661436
U100108,4,201,35,29,338,423,71.0,5,0.439,450.4,8,0,Night Owl,-1.5783634869847336,0.9266764163686116
U100109,1,143,21,25,614,356,53.1,1,0.362,316.9,4,2,Low-frequency Browser,-3.9278373642445277,-0.24300411053900708
U100110,4,181,55,22,827,626,72.5,5,0.442,355.2,8,0,Night Owl,-1.2018597570274927,0.5625630629397994
U100111,8,541,99,81,4369,879,91.7,4,0.481,572.1,11,1,Content Creator,3.6054446604664303,-1.0546151094717542
U100112,4,293,62,46,448,555,52.4,3,0.495,367.2,6,2,Low-frequency Browser,-1.306633497275587,-0.6405659107523255
U100113,5,326,89,60,585,430,46.7,2,0.336,212.0,5,3,Interactive User,-1.1271826158376559,-2.198695868947822
U100114,7,494,94,74,3006,830,70.2,4,0.22,690.2,11,1,Content Creator,2.5874541569294993,-0.9600667790695958
U100115,3,366,90,36,1084,694,63.1,4,0.3,396.0,9,3,Interactive User,-0.17417180894350037,-0.5193703050534795
U100116,1,124,37,34,458,887,95.2,5,0.611,188.8,4,0,Night Owl,-1.6030883239077822,1.2581093277155408
U100117,5,368,71,100,1251,799,69.3,4,0.727,488.4,6,3,Interactive User,1.1972043458806791,-0.346148626589984
U100118,5,384,97,64,1725,826,128.037,6,0.574,761.4,8,1,Content Creator,2.790870515263078,1.9324384459684762
U100119,2,339,57,41,571,974,84.1,2,0.859,688.9,6,0,Night Owl,-0.36305342595472195,1.5997664991553247
U100120,2,162,19,26,736,474,43.4,2,0.648,323.8,14,2,Low-frequency Browser,-2.995233240490151,0.5770688298929262
U100121,5,388,75,61,986,664,80.4,4,0.726,796.9,13,0,Night Owl,1.2556480156583814,1.4849623763107473
U100122,6,324,92,25,764,827,108.5,5,0.493,755.1,11,0,Night Owl,1.4705857702059257,1.9565911705957764
U100123,2,170,51,14,2147,579,92.2,6,0.479,361.7,9,0,Night Owl,-0.967573144484324,1.3664172099002245
U100124,3,461,101,73,4244,810,65.7,5,0.305,285.6,7,3,Interactive User,1.7062228713436873,-1.977045414517834
U100125,6,496,93,62,2412,978,95.8,5,0.726,773.6,4,1,Content Creator,2.715465005021611,0.5578698601913538
U100126,8,508,110,58,1772,983,110.9,6,0.601,702.4,10,1,Content Creator,3.70295790173743,0.8576969167163497
U100127,2,150,51,45,1545,460,60.0,2,0.667,515.3,13,2,Low-frequency Browser,-1.7390048359380468,0.8989131302699518
U100128,3,229,69,50,1786,631,80.1,4,0.442,674.2,9,0,Night Owl,-0.043011239534894566,1.04522164752742
U100129,2,306,71,42,2847,619,86.0,3,0.698,610.2,3,0,Night Owl,-0.3029987503492467,0.5467421770054198
U100130,4,223,37,41,965,338,54.5,3,0.48,482.8,4,2,Low-frequency Browser,-2.0769527537401773,-0.17865846627924664
U100131,0,104,32,35,1960,333,52.5,2,0.62,185.4,6,2,Low-frequency Browser,-3.4903546446881726,-0.26973390879048365
U100132,7,454,123,61,2378,1017,109.0,6,0.979,675.8,14,1,Content Creator,3.92371517900142,1.4753829644701866
U100133,1,241,52,63,1717,782,65.0,4,0.14,632.4,4,0,Night Owl,-0.6320476823134716,0.16295648527963094
U100134,4,266,58,39,940,552,55.4,1,0.435,352.4,5,2,Low-frequency Browser,-1.9104579616889277,-1.0057222034566538
U100135,4,358,91,56,2074,719,29.6,3,0.245,303.6,6,3,Interactive User,-0.4228304367822151,-2.4441561323626386
U100136,5,465,112,44,2361,638,52.3,5,0.64,545.4,6,3,Interactive User,1.142802103950967,-0.9683934357734919
U100137,4,454,71,41,416,981,82.8,6,0.734,166.4,0,3,Interactive User,0.4182159180146486,-0.456811766281443
U100138,6,656,108,84,4381,1386,100.6,7,0.644,656.4,5,1,Content Creator,5.138728086519889,-0.38222603077258965
U100139,7,544,104,82,2678,1113,80.6,7,0.175,481.9,12,1,Content Creator,3.926620730755116,-0.9810137508126792
U100140,7,369,80,55,1002,814,54.2,6,0.089,422.7,13,3,Interactive User,1.2332907084308926,-0.8701570059344816
U100141,3,291,62,52,2176,625,62.9,2,0.485,148.8,4,3,Interactive User,-1.3137895646496043,-1.5714241634034007
U100142,1,181,51,31,681,614,31.9,1,0.125,130.9,10,2,Low-frequency Browser,-3.2007408742429395,-1.4957423522381479
U100143,8,413,103,54,1239,827,73.7,3,0.605,392.5,4,3,Interactive User,1.1296048365091205,-1.3320829779651326
U100144,1,200,28,3,1472,529,95.0,2,0.949,505.5,7,2,Low-frequency Browser,-2.3989397360367133,2.186919717075455
U100145,2,253,85,69,1445,885,88.4,3,0.504,770.3,15,0,Night Owl,0.9950432618757633,1.769161515107559
U100146,5,338,88,46,1263,684,80.5,3,0.134,725.6,6,3,Interactive User,0.45311936275141784,-0.02830422296127606
U100147,4,311,35,49,1481,716,67.9,3,0.744,610.0,5,0,Night Owl,-0.6663982978783486,0.6263328047378152
U100148,3,317,98,49,4449,1133,71.4,6,0.311,511.1,2,3,Interactive User,1.6018247479405243,-0.8643021776494871
U100149,2,237,43,61,1480,817,98.2,5,0.567,801.6,13,0,Night Owl,0.6730736584214083,2.743197627689662
U100150,2,279,44,38,2595,490,81.7,3,0.417,523.0,9,0,Night Owl,-0.9501638597292842,0.5929264720181046
U100151,3,354,68,47,1404,879,53.8,2,0.519,81.9,4,3,Interactive User,-1.1233733741082903,-1.8617441081922625
U100152,0,7,12,19,587,167,26.9,2,0.594,249.2,4,2,Low-frequency Browser,-5.229732244151696,-0.10118567038263529
U100153,3,209,72,37,450,473,59.9,4,0.65,250.0,2,2,Low-frequency Browser,-1.8336929437704519,-0.4523537897405787
U100154,5,444,105,68,3583,1003,89.7,5,0.624,654.8,18,1,Content Creator,3.3343505851756237,0.743163853085333
U100155,6,383,102,70,1086,839,118.1,6,0.337,752.0,18,1,Content Creator,3.2742841679766164,1.982089246421135
U100156,1,111,64,17,527,561,69.0,4,0.285,435.8,8,2,Low-frequency Browser,-2.1580527131185865,0.8918393646838155
U100157,4,303,81,73,2901,1139,66.8,6,0.422,120.0,6,3,Interactive User,1.265350981715406,-1.4434441509930809
U100158,3,305,57,37,1608,513,64.4,3,0.32,465.2,0,2,Low-frequency Browser,-1.4603617755572953,-0.7684660074404656
U100159,6,309,84,59,516,293,29.5,2,0.292,285.3,4,3,Interactive User,-1.5393924259646847,-2.5681265036483443
U100160,1,157,24,37,935,483,34.6,3,0.57,250.7,2,2,Low-frequency Browser,-3.4100914012212216,-0.6303490251148212
U100161,4,307,110,61,1394,669,63.7,2,0.521,676.3,6,3,Interactive User,0.27315933123311753,-0.3465814560821646
U100162,5,351,54,53,1753,878,104.4,7,0.424,627.9,7,1,Content Creator,1.6616679480242955,1.4096134285924216
U100163,6,535,96,69,3232,642,51.9,3,1.0,374.9,7,3,Interactive User,1.3507778543263087,-1.724419202836677
U100164,8,409,100,64,826,864,71.2,5,0.588,440.0,10,1,Content Creator,1.917614461020057,-0.5297952539066136
U100165,2,297,49,36,197,498,53.2,2,0.542,530.8,14,2,Low-frequency Browser,-1.700254175637849,0.7511627668481016
U100166,6,354,71,35,768,1013,110.3,6,0.458,476.85,3,0,Night Owl,1.2667273540168051,0.8545570733433667
U100167,6,497,97,77,2936,1108,65.8,4,0.685,402.6,0,3,Interactive User,2.055533699524514,-1.8784191062994218
U100168,3,340,96,18,238,923,75.7,5,0.771,478.9,14,0,Night Owl,0.417449879358179,1.4542712461040435
U100169,9,563,108,56,1451,880,62.7,4,0.438,485.0,12,1,Content Creator,2.475871096154436,-1.399094017046478
U100170,7,406,85,34,795,301,68.0,2,0.514,412.1,15,3,Interactive User,-0.1943623204933553,-0.5038317444607524
U100171,8,555,128,78,2235,893,58.7,4,0.174,230.7,0,3,Interactive User,2.2013087207372606,-3.7057329851315797
U100172,4,414,68,68,4449,634,72.2,3,0.637,562.7,4,3,Interactive User,0.8501939676035084,-0.9033683307665857
U100173,2,115,36,26,645,484,33.7,2,0.463,145.3,3,2,Low-frequency Browser,-3.7787086705704844,-1.1462344301450407
U100174,2,238,43,49,914,425,62.9,2,0.847,398.6,6,2,Low-frequency Browser,-2.060806040822567,0.37156854600177597
U100175,7,425,87,55,2328,593,31.5,5,0.374,302.0,3,3,Interactive User,0.3552745667032956,-2.705165038691064
U100176,6,461,91,66,1282,982,82.6,6,0.29,561.0,8,1,Content Creator,2.3550277312663535,-0.1789395728192348
U100177,3,413,76,40,656,920,82.7,5,0.743,505.3,7,0,Night Owl,0.6401374569248536,0.9408025677655018
U100178,6,311,99,63,2519,744,78.6,4,0.363,518.0,4,3,Interactive User,1.1455588326292698,-0.889740068842834
U100179,3,417,88,93,3523,1033,81.8,3,0.159,277.5,7,3,Interactive User,1.6849088726611354,-1.8377018482584806
U100180,4,432,90,83,1991,1311,98.1,6,0.576,744.7,13,1,Content Creator,3.507278041780801,1.5037646600707912
U100181,3,153,31,29,899,289,74.3,6,0.377,397.0,11,0,Night Owl,-1.6757728673968249,1.234315929409242
U100182,4,270,58,47,983,669,61.6,4,0.345,268.5,3,3,Interactive User,-1.0701097868515284,-0.9664859051901894
U100183,1,269,29,64,2885,843,118.8,5,0.862,809.4,14,0,Night Owl,1.1820566885002979,3.541291552414284
U100184,7,335,75,42,1438,584,70.7,4,0.776,328.2,7,3,Interactive User,0.10785987727020707,-0.4952648079250597
U100185,10,656,150,76,4449,995,78.1,6,0.242,594.6,3,1,Content Creator,4.902669966511693,-2.7464839895209505
U100186,2,294,75,60,1280,973,83.7,4,0.398,609.2,9,0,Night Owl,0.6119937509869975,0.9262338829059431
U100187,5,397,81,1,3234,434,70.7,2,0.249,349.4,8,3,Interactive User,-0.8231988175857505,-1.3850071717182433
U100188,3,246,44,57,1138,635,62.1,2,0.92,341.0,10,0,Night Owl,-1.3000576085890856,0.34360354975862406
U100189,4,334,60,53,1194,844,113.3,6,0.283,674.1,7,0,Night Owl,1.3474891053840858,1.64506335392522
U100190,6,367,92,44,1307,868,104.6,7,0.512,288.0,7,1,Content Creator,1.7471479454331886,0.26067298647403647
U100191,4,446,94,77,2117,1162,87.4,5,0.595,517.8,6,1,Content Creator,2.3919032602145487,-0.050406739827569005
U100192,2,234,17,34,1131,627,44.8,3,0.206,314.5,7,2,Low-frequency Browser,-2.501751901731452,-0.560589199536109
U100193,9,590,137,76,2117,735,94.2,6,0.807,579.5,9,1,Content Creator,4.089136581022638,-0.46464697028424184
U100194,1,45,23,9,505,197,59.9,2,0.328,381.1,5,2,Low-frequency Browser,-4.298477715788286,0.5683460248135599
U100195,5,407,69,40,2128,1028,63.2,3,0.378,611.5,8,3,Interactive User,0.6907266396206632,-0.36883476651567826
U100196,6,564,99,74,3844,996,82.4,5,0.247,400.7,16,1,Content Creator,3.420444444907169,-1.1866638739481894
U100197,1,148,30,44,948,603,63.7,4,0.587,623.2,7,0,Night Owl,-1.7975076957684988,1.5338838520471783
U100198,0,220,41,43,404,867,82.0,3,0.473,497.0,6,0,Night Owl,-1.461822178326106,1.3030340575092314
U100199,5,240,40,28,1699,500,55.7,4,0.58,281.9,11,2,Low-frequency Browser,-1.357312666952211,-0.18135559899428616
U100200,3,412,88,48,2040,1013,73.9,4,0.255,490.7,15,1,Content Creator,1.3042997194418884,0.03416650103088661
U100201,4,327,102,79,2282,1088,87.3,6,0.12,477.9,7,1,Content Creator,2.2538553113447484,-0.4308330555407035
U100202,3,247,64,37,2225,869,48.1,4,0.343,381.7,4,3,Interactive User,-0.8849888405660341,-0.9326589132456089
U100203,3,252,30,41,1926,835,85.4,6,0.428,777.6,6,0,Night Owl,0.1400341455653043,1.8795560305529893
U100204,1,112,29,28,1611,465,39.4,2,0.81,323.5,8,2,Low-frequency Browser,-3.2964197498435786,0.2257299540063573
U100205,1,256,55,42,732,868,39.2,4,0.099,272.7,3,2,Low-frequency Browser,-1.7951102497744182,-1.240672883797303
U100206,4,295,53,29,574,706,30.0,2,0.266,117.9,13,2,Low-frequency Browser,-1.9836003579745038,-1.6242807510793358
U100207,3,224,69,37,811,755,67.1,2,0.538,543.0,3,2,Low-frequency Browser,-1.3172219959258489,0.1444125377204331
U100208,5,332,84,37,1725,686,57.9,3,0.644,306.4,8,3,Interactive User,-0.3454518447195826,-0.9300018612681984
U100209,3,258,59,43,1715,885,77.5,3,0.689,555.5,5,0,Night Owl,-0.40911904966055035,0.6920291336784885
U100210,4,345,49,47,1170,914,84.3,6,0.344,675.1,5,0,Night Owl,0.7168739159656035,1.043594319249172
U100211,6,525,80,47,2438,1126,36.0,2,0.48,154.0,6,3,Interactive User,0.4749707182795626,-3.001293954034822
U100212,0,95,9,6,1230,407,41.6,4,0.324,183.3,10,2,Low-frequency Browser,-3.9340196274587407,0.24688093219965948
U100213,1,290,60,63,1875,864,75.0,3,0.281,682.7,14,0,Night Owl,0.23507204186357755,1.0577424959389385
U100214,0,310,49,55,830,903,84.6,3,0.517,543.7,8,0,Night Owl,-0.5484748386160719,1.2503215890410746
U100215,8,426,88,15,1194,723,88.3,5,0.549,460.5,7,3,Interactive User,1.0124779783159281,-0.010064083699654502
U100216,8,552,139,82,2987,921,75.8,5,0.499,253.6,8,1,Content Creator,3.46348388336361,-2.4145264720703725
U100217,7,535,124,96,1580,1313,102.2,6,0.525,502.4,7,1,Content Creator,4.383002672930204,-0.42885646729860105
U100218,4,305,87,37,803,773,70.5,3,0.735,411.1,11,0,Night Owl,-0.15648522967858608,0.346686580033818
U100219,7,392,101,77,1257,626,63.6,3,0.617,617.2,10,1,Content Creator,1.3754966050816635,-0.5486296395003989
U100220,0,119,25,32,729,480,75.6,3,0.869,359.7,7,2,Low-frequency Browser,-2.821546850267375,1.6281431817586673
U100221,4,263,54,42,480,822,104.0,4,0.721,889.2,4,0,Night Owl,0.2660428799731919,2.5303975795970635
U100222,10,633,127,62,4065,760,64.7,4,0.323,370.7,12,1,Content Creator,3.444560677229466,-2.881159400659913
U100223,3,384,68,66,2014,666,45.9,2,0.231,205.9,14,3,Interactive User,-0.426050402760464,-1.7696363650368392
U100224,2,295,30,52,625,819,63.0,4,0.5,285.5,8,0,Night Owl,-1.1597710753822719,0.14358213079508378
U100225,3,267,43,56,740,525,34.4,4,0.354,127.4,8,2,Low-frequency Browser,-1.8489956352514465,-1.4364855414085689
U100226,5,499,120,100,3157,1180,114.9,7,0.598,803.5,14,1,Content Creator,5.169742124182388,1.379599330456376
U100227,6,506,122,83,3416,1223,86.9,7,0.37,577.9,8,1,Content Creator,4.241717160321244,-0.6776533866446507
